"sp2","sp1","RY1","RY2","avgRY","C.N.x","C.P.x","N.P.x","C.N.y","C.P.y","N.P.y"
20,4,1.042226078,0.336221914,0.689223996,10.63961408,161.1779549,15.14885348,14.15488391,326.1858809,23.04405201
21,4,0.619742037,0.502668202,0.561205119,10.63961408,161.1779549,15.14885348,11.10118558,244.5458626,22.02880592
22,4,0.348934079,0.602359588,0.475646833,10.63961408,161.1779549,15.14885348,8.950205191,206.7171231,23.09635574
23,4,0.975931053,0.102585414,0.539258234,10.63961408,161.1779549,15.14885348,8.438645333,126.1576931,14.94999353
7,5,0.299278846,0.98028169,0.639780268,7.129077741,146.6461209,20.57013912,18.93607573,363.550963,19.19885451
11,5,0.071730769,0.879731971,0.47573137,7.129077741,146.6461209,20.57013912,15.73479667,417.7917454,26.55209051
17,5,0.028159341,0.891529545,0.459844443,7.129077741,146.6461209,20.57013912,11.88829523,241.3359752,20.3003013
18,5,0.088028846,0.560260586,0.324144716,7.129077741,146.6461209,20.57013912,16.59826025,357.8954255,21.5622252
19,5,0.776141827,0.160249639,0.468195733,7.129077741,146.6461209,20.57013912,10.54359178,226.1846117,21.45233014
21,5,0.027980769,0.923578865,0.475779817,7.129077741,146.6461209,20.57013912,11.10118558,244.5458626,22.02880592
22,5,0.059151786,0.827018943,0.443085364,7.129077741,146.6461209,20.57013912,8.950205191,206.7171231,23.09635574
23,5,0.788461538,0.318561336,0.553511437,7.129077741,146.6461209,20.57013912,8.438645333,126.1576931,14.94999353
8,7,1.491197183,0.132043014,0.811620098,18.93607573,363.550963,19.19885451,10.89606389,219.158011,20.11350274
9,7,0.358574524,1.21695009,0.787762307,18.93607573,363.550963,19.19885451,16.39947869,345.552737,21.07095862
10,7,0.006156942,1.085217391,0.545687166,18.93607573,363.550963,19.19885451,16.81553094,358.6429684,21.32807877
13,7,0.272151088,1.607230049,0.939690568,18.93607573,363.550963,19.19885451,10.65688047,147.8190613,13.87076281
14,7,0.477992958,1.011972463,0.744982711,18.93607573,363.550963,19.19885451,10.48141977,223.5869273,21.33174056
17,7,0.021971831,0.829608766,0.425790299,18.93607573,363.550963,19.19885451,11.88829523,241.3359752,20.3003013
18,7,0.385083227,0.690553746,0.537818486,18.93607573,363.550963,19.19885451,16.59826025,357.8954255,21.5622252
19,7,1.760915493,0.109050894,0.934983193,18.93607573,363.550963,19.19885451,10.54359178,226.1846117,21.45233014
20,7,0.230473752,2.478392199,1.354432975,18.93607573,363.550963,19.19885451,14.15488391,326.1858809,23.04405201
21,7,0.105633803,1.126063392,0.615848598,18.93607573,363.550963,19.19885451,11.10118558,244.5458626,22.02880592
22,7,0.118661972,0.982303091,0.550482531,18.93607573,363.550963,19.19885451,8.950205191,206.7171231,23.09635574
23,7,1.558626761,0.296531792,0.927579276,18.93607573,363.550963,19.19885451,8.438645333,126.1576931,14.94999353
9,8,0.030709678,0.984954077,0.507831877,10.89606389,219.158011,20.11350274,16.39947869,345.552737,21.07095862
10,8,0.016860215,0.702826087,0.359843151,10.89606389,219.158011,20.11350274,16.81553094,358.6429684,21.32807877
11,8,0.193440864,1.006554645,0.599997755,10.89606389,219.158011,20.11350274,15.73479667,417.7917454,26.55209051
14,8,0.029003585,1.034420832,0.531712208,10.89606389,219.158011,20.11350274,10.48141977,223.5869273,21.33174056
18,8,0.190821509,0.596091205,0.393456357,10.89606389,219.158011,20.11350274,16.59826025,357.8954255,21.5622252
19,8,0.413452148,0.353277291,0.38336472,10.89606389,219.158011,20.11350274,10.54359178,226.1846117,21.45233014
21,8,0.00958423,1.180201055,0.594892642,10.89606389,219.158011,20.11350274,11.10118558,244.5458626,22.02880592
22,8,0.024387097,1.186440678,0.605413888,10.89606389,219.158011,20.11350274,8.950205191,206.7171231,23.09635574
23,8,0.25741936,0.73256262,0.49499099,10.89606389,219.158011,20.11350274,8.438645333,126.1576931,14.94999353
11,9,0.833001267,0.15411363,0.493557448,16.39947869,345.552737,21.07095862,15.73479667,417.7917454,26.55209051
14,9,0.313132356,0.855073331,0.584102844,16.39947869,345.552737,21.07095862,10.48141977,223.5869273,21.33174056
17,9,0.481965899,0.542035228,0.512000563,16.39947869,345.552737,21.07095862,11.88829523,241.3359752,20.3003013
18,9,1.535427742,0.175171915,0.855299828,16.39947869,345.552737,21.07095862,16.59826025,357.8954255,21.5622252
19,9,1.315320024,0.057003876,0.68616195,16.39947869,345.552737,21.07095862,10.54359178,226.1846117,21.45233014
21,9,0.451533397,0.606833987,0.529183692,16.39947869,345.552737,21.07095862,11.10118558,244.5458626,22.02880592
22,9,0.188571419,0.944167498,0.566369458,16.39947869,345.552737,21.07095862,8.950205191,206.7171231,23.09635574
23,9,1.040629041,0.243864464,0.642246752,16.39947869,345.552737,21.07095862,8.438645333,126.1576931,14.94999353
14,10,0.608695652,0.499610895,0.554153274,16.81553094,358.6429684,21.32807877,10.48141977,223.5869273,21.33174056
17,10,0.129347826,0.684370498,0.406859162,16.81553094,358.6429684,21.32807877,11.88829523,241.3359752,20.3003013
18,10,0.55173913,0.047774159,0.299756644,16.81553094,358.6429684,21.32807877,16.59826025,357.8954255,21.5622252
19,10,1.320964219,0.002967996,0.661966107,16.81553094,358.6429684,21.32807877,10.54359178,226.1846117,21.45233014
21,10,0.199565217,0.752513517,0.476039367,16.81553094,358.6429684,21.32807877,11.10118558,244.5458626,22.02880592
22,10,0.252391304,0.991026919,0.621709112,16.81553094,358.6429684,21.32807877,8.950205191,206.7171231,23.09635574
23,10,1.429130435,0.0238921,0.726511267,16.81553094,358.6429684,21.32807877,8.438645333,126.1576931,14.94999353
13,11,1.261805345,0.001922949,0.631864147,15.73479667,417.7917454,26.55209051,10.65688047,147.8190613,13.87076281
14,11,0.349163693,0.951511523,0.650337608,15.73479667,417.7917454,26.55209051,10.48141977,223.5869273,21.33174056
17,11,0.274514903,0.869484451,0.571999677,15.73479667,417.7917454,26.55209051,11.88829523,241.3359752,20.3003013
18,11,0.269698852,0.827090119,0.548394486,15.73479667,417.7917454,26.55209051,16.59826025,357.8954255,21.5622252
19,11,0.92949783,0.215568282,0.572533056,15.73479667,417.7917454,26.55209051,10.54359178,226.1846117,21.45233014
20,11,1.478527637,0.003593628,0.741060633,15.73479667,417.7917454,26.55209051,14.15488391,326.1858809,23.04405201
21,11,0.693511335,0.799680956,0.746596145,15.73479667,417.7917454,26.55209051,11.10118558,244.5458626,22.02880592
22,11,0.313043311,1.026919242,0.669981277,15.73479667,417.7917454,26.55209051,8.950205191,206.7171231,23.09635574
23,11,1.268740458,0.005512824,0.637126641,15.73479667,417.7917454,26.55209051,8.438645333,126.1576931,14.94999353
14,13,0.306843048,0.858425621,0.582634334,10.65688047,147.8190613,13.87076281,10.48141977,223.5869273,21.33174056
17,13,0.006498243,1.278653605,0.642575924,10.65688047,147.8190613,13.87076281,11.88829523,241.3359752,20.3003013
18,13,0.021483986,1.222149837,0.621816912,10.65688047,147.8190613,13.87076281,16.59826025,357.8954255,21.5622252
19,13,1.218104056,0.004773271,0.611438664,10.65688047,147.8190613,13.87076281,10.54359178,226.1846117,21.45233014
21,13,0.082355281,0.867894411,0.475124846,10.65688047,147.8190613,13.87076281,11.10118558,244.5458626,22.02880592
23,13,0.599761289,0.270520231,0.43514076,10.65688047,147.8190613,13.87076281,8.438645333,126.1576931,14.94999353
17,14,0.120813039,1.012364955,0.566588997,10.48141977,223.5869273,21.33174056,11.88829523,241.3359752,20.3003013
18,14,0.816581862,0.223669924,0.520125893,10.48141977,223.5869273,21.33174056,16.59826025,357.8954255,21.5622252
19,14,1.467824005,0.075592097,0.771708051,10.48141977,223.5869273,21.33174056,10.54359178,226.1846117,21.45233014
20,14,0.401704651,0.665023127,0.533363889,10.48141977,223.5869273,21.33174056,14.15488391,326.1858809,23.04405201
21,14,0.522598025,0.932521247,0.727559636,10.48141977,223.5869273,21.33174056,11.10118558,244.5458626,22.02880592
22,14,0.221490572,1.053506148,0.63749836,10.48141977,223.5869273,21.33174056,8.950205191,206.7171231,23.09635574
18,17,1.114625216,0.078537821,0.596581519,11.88829523,241.3359752,20.3003013,16.59826025,357.8954255,21.5622252
19,17,0.908387559,0.00798605,0.458186804,11.88829523,241.3359752,20.3003013,10.54359178,226.1846117,21.45233014
20,17,1.08442412,0.015343582,0.549883851,11.88829523,241.3359752,20.3003013,14.15488391,326.1858809,23.04405201
21,17,0.712600189,0.274977684,0.493788937,11.88829523,241.3359752,20.3003013,11.10118558,244.5458626,22.02880592
22,17,0.673510047,0.691924227,0.682717137,11.88829523,241.3359752,20.3003013,8.950205191,206.7171231,23.09635574
19,18,0.785016287,0.113594681,0.449305484,16.59826025,357.8954255,21.5622252,10.54359178,226.1846117,21.45233014
20,18,0.491856678,0.413792168,0.452824423,16.59826025,357.8954255,21.5622252,14.15488391,326.1858809,23.04405201
21,18,0.521172638,1.020881647,0.771027143,16.59826025,357.8954255,21.5622252,11.10118558,244.5458626,22.02880592
22,18,0.127397756,1.193918245,0.660658001,16.59826025,357.8954255,21.5622252,8.950205191,206.7171231,23.09635574
23,18,0.579080709,0.059961464,0.319521087,16.59826025,357.8954255,21.5622252,8.438645333,126.1576931,14.94999353
22,19,0.015067277,1.059322034,0.537194656,10.54359178,226.1846117,21.45233014,8.950205191,206.7171231,23.09635574
23,19,0.660914507,0.89017341,0.775543959,10.54359178,226.1846117,21.45233014,8.438645333,126.1576931,14.94999353
23,20,1.007138849,0.354527938,0.680833394,14.15488391,326.1858809,23.04405201,8.438645333,126.1576931,14.94999353
23,21,1.080046379,0.013256262,0.54665132,11.10118558,244.5458626,22.02880592,8.438645333,126.1576931,14.94999353
23,22,1.21884347,0.016030829,0.617437149,8.950205191,206.7171231,23.09635574,8.438645333,126.1576931,14.94999353
