"Restaurant","Country","City","Price","Rating"
"F-all (Food for All)","India","Noida",1,"Average"
"Mr Toasties","India","Vadodara",1,"Good"
"Madras Dosa & Chinese","India","New Delhi",2,"Average"
"The FLIP Cafe","India","Noida",2,"Average"
"Vinayak Restaurant","India","New Delhi",1,"Average"
"Frontier Restaurant","India","New Delhi",2,"Average"
"BTW","India","New Delhi",1,"Good"
"Flavors Of London","India","New Delhi",1,"Average"
"Friends Shawarma","India","New Delhi",1,"Good"
"Nagpal's","India","New Delhi",1,"Good"
"Frosty Rollies","India","New Delhi",1,"Very Good"
"The Munchkart Cafe","India","Noida",1,"Good"
"McDonald's","India","Noida",2,"Good"
"La-Cuisine","India","Noida",2,"Average"
"Divine Curries","India","Noida",2,"Average"
"Mogambo Khush Hua","India","New Delhi",1,"Good"
"The Claridges Garden -The Claridges","India","New Delhi",4,"Average"
"Red Chilli","India","Patna",2,"Good"
"Sagar Bar-Be Que","India","New Delhi",2,"Average"
"DIOS The Neighbourhood Bistro","India","Noida",3,"Very Good"
"Food Bell","India","Noida",1,"Average"
"Otik Hotshop","India","Noida",2,"Average"
"Dakshin South Indian Hut","India","New Delhi",1,"Average"
"Asia Central","India","New Delhi",3,"Very Good"
"Kings Kulfi","India","New Delhi",1,"Average"
"The Chef","India","Noida",2,"Average"
"The Indian Grill Restaurant","India","New Delhi",2,"Average"
"Sehyog Alpahar","India","New Delhi",1,"Average"
"Alvi's Food Spot","India","New Delhi",1,"Average"
"Subway","India","Noida",2,"Good"
"Aayana Foods","India","New Delhi",1,"Average"
"Chowranghee","India","New Delhi",1,"Average"
"#OFF Campus","India","New Delhi",2,"Good"
"Brown Town","India","Noida",1,"Average"
"Pipeline Cafe","India","New Delhi",2,"Very Good"
"Havemore","India","New Delhi",3,"Very Good"
"Arriba - Mexican Grill & Tequileria","India","New Delhi",4,"Very Good"
"Shree Durga Dosa","India","New Delhi",1,"Average"
"Bistro 37","India","Noida",1,"Very Good"
"Neelma Punjabi Dhaba","India","New Delhi",1,"Average"
"Hum Sabki Rasoi","India","New Delhi",1,"Average"
"McDonald's","India","New Delhi",2,"Average"
"The Choco Shop","India","Noida",2,"Average"
"Domino's Pizza","India","New Delhi",2,"Average"
"Sunil Momos.Com","India","New Delhi",1,"Average"
"Pizza Hut","India","Noida",3,"Average"
"Pan Asian - Sheraton New Delhi Hotel","India","New Delhi",4,"Very Good"
"Deep Sweet Corner","India","New Delhi",1,"Average"
"Machan - The Taj Mahal Hotel","India","New Delhi",4,"Good"
"Southy","India","New Delhi",1,"Average"
"Shree Rathnam","India","New Delhi",2,"Good"
"Shree Balaji Shudh Vaishno Hotel","India","Noida",1,"Average"
"Taste Drive","India","New Delhi",1,"Average"
"Shahenshah","India","Noida",2,"Average"
"Mithaas","India","Noida",2,"Average"
"Snack Junction","India","New Delhi",1,"Average"
"Punjabi Pakwaan","India","Noida",2,"Average"
